ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
254	10	10	30	0	46.8	48	26.1	74.83	1.45	20.32
255	10	20	30	0	42.93	41.69	23.64	70.66	8.27	17.55
256	10	30	30	0	39.78	36.7	21.61	67.05	14.24	15.21
257	10	40	30	0	37.03	32.47	19.8	63.73	19.8	13.17
258	10	55	30	0	33.87	27.67	17.6	59.59	26.97	10.81
259	10	70	30	0	31.6	24.32	15.93	56.4	32.65	9.23
260	10	85	30	0	30.18	22.23	14.81	54.27	36.58	8.35
261	10	100	30	0	29.17	20.77	13.94	52.7	39.56	7.87
262	20	0	30	0	43.75	48.89	28.09	75.38	-9.65	17.89
263	20	10	30	0	40.26	42.75	25.58	71.39	-2.94	15.29
264	20	20	30	0	37.06	37.31	23.31	67.51	3.59	12.74
265	20	30	30	0	34.4	32.93	21.37	64.11	9.33	10.62
266	20	40	30	0	32.1	29.24	19.63	60.99	14.67	8.81
267	20	55	30	0	29.44	25.04	17.54	57.12	21.52	6.69
268	20	70	30	0	27.52	22.09	15.96	54.13	26.95	5.24
269	20	85	30	0	26.32	20.26	14.87	52.13	30.67	4.49
270	20	100	30	0	25.46	18.97	14.03	50.66	33.47	4.11
271	30	0	30	0	37.62	43.54	27.48	71.92	-13.59	12.95
272	30	10	30	0	34.77	38.25	25.13	68.21	-7.07	10.62
273	30	20	30	0	32.1	33.52	22.98	64.58	-0.77	8.31
274	30	30	30	0	29.92	29.74	21.16	61.43	4.73	6.43
275	30	40	30	0	27.98	26.5	19.5	58.51	9.88	4.81
276	30	55	30	0	25.72	22.79	17.48	54.85	16.44	2.92
277	30	70	30	0	24.08	20.18	15.94	52.04	21.62	1.67
278	30	85	30	0	23.05	18.55	14.9	50.16	25.14	1
279	30	100	30	0	22.3	17.39	14.09	48.75	27.82	0.67
280	40	0	30	0	32.64	39.09	26.9	68.82	-17.11	8.57
281	40	10	30	0	30.28	34.49	24.68	65.35	-10.79	6.49
282	40	20	30	0	28.04	30.34	22.66	61.95	-4.69	4.37
283	40	30	30	0	26.22	27.04	20.95	59.01	0.61	2.68
284	40	40	30	0	24.6	24.2	19.36	56.28	5.55	1.26
285	40	55	30	0	22.65	20.89	17.4	52.82	11.87	-0.4
286	40	70	30	0	21.25	18.56	15.92	50.17	16.83	-1.49
287	40	85	30	0	20.36	17.1	14.92	48.39	20.19	-2.08
288	40	100	30	0	19.72	16.07	14.14	47.07	22.72	-2.36
289	55	0	30	0	27.02	33.89	26.15	64.88	-21.4	3.07
290	55	10	30	0	25.19	30.09	24.08	61.73	-15.39	1.34
291	55	20	30	0	23.47	26.65	22.21	58.65	-9.59	-0.43
292	55	30	30	0	22.03	23.87	20.59	55.96	-4.49	-1.87
293	55	40	30	0	20.74	21.47	19.1	53.45	0.2	-3.06
294	55	55	30	0	19.22	18.71	17.28	50.34	6.12	-4.4
295	55	70	30	0	18.09	16.72	15.87	47.91	10.77	-5.27
296	55	85	30	0	17.38	15.49	14.94	46.3	13.9	-5.73
297	55	100	30	0	16.86	14.61	14.22	45.1	16.24	-5.98
298	70	0	30	0	22.87	29.93	25.5	61.59	-24.93	-1.45
299	70	10	30	0	21.46	26.76	23.56	58.75	-19.2	-2.84
300	70	20	30	0	20.08	23.83	21.79	55.92	-13.61	-4.34
301	70	30	30	0	18.94	21.47	20.27	53.46	-8.75	-5.51
302	70	40	30	0	17.9	19.41	18.87	51.17	-4.27	-6.5
